Protein_Accession
A0AVT1
A1Z1Q3
A4D1B5
A4QPH2
A5LHX3
A5PKW4
A5X5Y0
A5YKK6
A6NHL2
A6NNZ2
A7MCY6
A8K7I4
A8MPY1
A8MUK1
A8MYU2
B2RXH2
O00115
O00116
O00141
O00142
O00144
O00165
O00167
O00182
O00187
O00206
O00214
O00217
O00220
O00222
O00231
O00232
O00238
O00254
O00255
O00257
O00264
O00303
O00305
O00311
O00329
O00337
O00391
O00398
O00400
O00408
O00410
O00411
O00418
O00421
O00429
O00443
O00444
O00459
O00462
O00468
O00470
O00481
O00482
O00483
O00487
O00506
O00512
O00519
O00555
O00560
O00571
O00574
O00591
O00624
O00625
O00626
O00743
O00748
O00750
O00754
O00762
O00763
O00764
O00767
O14519
O14561
O14578
O14638
O14640
O14641
O14646
O14649
O14656
O14672
O14684
O14686
O14717
O14727
O14730
O14733
O14744
O14745
O14746
O14757
O14763
O14764
O14777
O14786
O14788
O14791
O14793
O14804
O14815
O14818
O14842
O14843
O14862
O14867
O14880
O14894
O14920
O14929
O14936
O14939
O14950
O14965
O14966
O14975
O14976
O14980
O14983
O14986
O15027
O15047
O15054
O15055
O15056
O15066
O15067
O15068
O15075
O15084
O15085
O15111
O15118
O15120
O15121
O15143
O15144
O15146
O15151
O15164
O15169
O15197
O15228
O15229
O15239
O15244
O15245
O15254
O15264
O15269
O15270
O15294
O15296
O15297
O15303
O15305
O15355
O15357
O15379
O15382
O15392
O15393
O15399
O15427
O15438
O15439
O15440
O15455
O15460
O15492
O15496
O15503
O15511
O15519
O15527
O15528
O15530
O15540
O15550
O15552
O15554
O43143
O43148
O43151
O43169
O43174
O43175
O43181
O43184
O43187
O43193
O43194
O43242
O43280
O43283
O43293
O43306
O43314
O43318
O43353
O43396
O43424
O43426
O43451
O43463
O43464
O43497
O43511
O43521
O43524
O43525
O43526
O43561
O43570
O43592
O43598
O43603
O43613
O43614
O43674
O43676
O43677
O43678
O43683
O43741
O43772
O43781
O43791
O43826
O43865
O43868
O43895
O43897
O43920
O43924
O60218
O60232
O60235
O60259
O60266
O60282
O60285
O60307
O60313
O60331
O60341
O60346
O60359
O60361
O60391
O60427
O60462
O60502
O60503
O60506
O60547
O60551
O60563
O60583
O60602
O60603
O60610
O60656
O60658
O60671
O60674
O60675
O60678
O60706
O60725
O60733
O60741
O60755
O60760
O60763
O60779
O60825
O60840
O60841
O60869
O60880
O60882
O60884
O60885
O60894
O60895
O60896
O60906
O60911
O60928
O60930
O60931
O60939
O75084
O75106
O75116
O75151
O75153
O75164
O75170
O75173
O75175
O75190
O75251
O75306
O75311
O75330
O75340
O75343
O75351
O75355
O75356
O75365
O75369
O75376
O75380
O75381
O75385
O75388
O75390
O75419
O75438
O75449
O75460
O75469
O75475
O75489
O75493
O75530
O75533
O75578
O75581
O75582
O75604
O75608
O75643
O75676
O75688
O75694
O75716
O75717
O75747
O75751
O75762
O75795
O75807
O75832
O75844
O75845
O75874
O75884
O75899
O75907
O75908
O75909
O75914
O75936
O75940
O75962
O75976
O76021
O76031
O76039
O76062
O76074
O76082
O76083
O94759
O94760
O94768
O94782
O94788
O94804
O94806
O94907
O94921
O94925
O94953
O94956
O94966
O95050
O95067
O95069
O95136
O95139
O95140
O95166
O95167
O95168
O95169
O95178
O95180
O95182
O95235
O95239
O95251
O95255
O95259
O95263
O95264
O95267
O95271
O95298
O95299
O95340
O95342
O95347
O95352
O95363
O95372
O95382
O95396
O95398
O95433
O95436
O95456
O95470
O95497
O95503
O95544
O95551
O95563
O95602
O95619
O95622
O95628
O95630
O95644
O95665
O95684
O95696
O95718
O95747
O95749
O95782
O95785
O95819
O95822
O95831
O95835
O95838
O95864
O95870
O95907
O95931
O95932
O95977
O95989
O96000
O96008
O96013
O96017
O96020
O96028
P00167
P00325
P00326
P00338
P00352
P00374
P00387
P00390
P00395
P00403
P00439
P00441
P00451
P00480
P00488
P00491
P00492
P00505
P00519
P00533
P00558
P00568
P00734
P00736
P00740
P00742
P00746
P00747
P00748
P00749
P00750
P00751
P00797
P00813
P00915
P00918
P01008
P01011
P01024
P01031
P01100
P01106
P01111
P01112
P01116
P01127
P01130
P01133
P01135
P01137
P01138
P01160
P01213
P01215
P01275
P01282
P01308
P01374
P01375
P01574
P01579
P01584
P01589
P01721
P01730
P01833
P01848
P01889
P01909
P01911
P02144
P02489
P02511
P02647
P02708
P02724
P02743
P02748
P02751
P02753
P02763
P02765
P02766
P02768
P02774
P02776
P02787
P02788
P03372
P03886
P03891
P03897
P03901
P03905
P03915
P03923
P03951
P03952
P03956
P03979
P04004
P04035
P04040
P04049
P04053
P04054
P04062
P04066
P04070
P04085
P04114
P04150
P04156
P04179
P04180
P04181
P04183
P04198
P04201
P04233
P04271
P04275
P04278
P04350
P04406
P04435
P04437
P04439
P04626
P04629
P04632
P04637
P04746
P04792
P04798
P04818
P04839
P04843
P04899
P05019
P05023
P05026
P05067
P05089
P05091
P05093
P05106
P05107
P05121
P05129
P05141
P05160
P05162
P05164
P05177
P05181
P05186
P05187
P05198
P05230
P05231
P05362
P05386
P05388
P05412
P05413
P05455
P05556
P05771
P05981
P06213
P06239
P06241
P06276
P06280
P06396
P06400
P06401
P06493
P06576
P06681
P06702
P06729
P06730
P06732
P06733
P06734
P06737
P06744
P06746
P06748
P06753
P06756
P06858
P06865
P06870
P07099
P07101
P07148
P07195
P07202
P07205
P07237
P07288
P07305
P07315
P07320
P07327
P07332
P07333
P07339
P07355
P07384
P07437
P07451
P07477
P07478
P07510
P07550
P07602
P07686
P07711
P07741
P07814
P07858
P07900
P07910
P07947
P07948
P07949
P07992
P07996
P07998
P08047
P08069
P08100
P08134
P08138
P08151
P08172
P08173
P08183
P08185
P08235
P08236
P08237
P08238
P08240
P08243
P08246
P08253
P08254
P08263
P08294
P08311
P08319
P08397
P08473
P08476
P08514
P08571
P08574
P08575
P08581
P08588
P08631
P08648
P08670
P08684
P08686
P08708
P08709
P08754
P08833
P08842
P08865
P08887
P08908
P08912
P08913
P08922
P08962
P09038
P09086
P09132
P09172
P09210
P09211
P09237
P09238
P09382
P09417
P09429
P09467
P09471
P09488
P09493
P09496
P09601
P09619
P09651
P09668
P09769
P09848
P09871
P09874
P09884
P09917
P09923
P09936
P09958
P09960
P09972
P0C0P6
P0C1S8
P0C264
P0C869
P0C870
P0DJD9
P0DMS8
P0DMS9
P0DMV8
P0DMV9
P0DP23
P0DP24
P0DPD6
P0DPH7
P0DUB6
P10070
P10092
P10144
P10145
P10153
P10253
P10275
P10276
P10323
P10398
P10415
P10515
P10586
P10588
P10589
P10599
P10600
P10619
P10632
P10635
P10636
P10644
P10646
P10696
P10721
P10746
P10747
P10768
P10809
P10826
P10827
P10828
P10911
P10997
P11021
P11086
P11137
P11142
P11150
P11166
P11168
P11169
P11172
P11177
P11215
P11216
P11217
P11226
P11229
P11230
P11274
P11308
P11309
P11310
P11362
P11387
P11388
P11413
P11473
P11474
P11509
P11511
P11586
P11597
P11678
P11712
P11717
P11766
P11802
P11831
P11926
P12004
P12081
P12104
P12236
P12259
P12268
P12277
P12314
P12544
P12643
P12644
P12821
P12830
P12931
P12955
P12956
P13010
P13051
P13056
P13497
P13500
P13501
P13569
P13584
P13612
P13631
P13637
P13639
P13667
P13674
P13716
P13726
P13796
P13798
P13807
P13861
P13866
P13945
P13995
P14060
P14061
P14091
P14151
P14174
P14207
P14210
P14222
P14324
P14384
P14410
P14415
P14416
P14550
P14555
P14598
P14616
P14618
P14625
P14635
P14672
P14679
P14735
P14778
P14780
P14784
P14859
P14867
P14902
P14920
P14927
P15056
P15085
P15086
P15088
P15090
P15104
P15121
P15144
P15153
P15169
P15170
P15289
P15291
P15309
P15311
P15313
P15328
P15374
P15382
P15428
P15498
P15514
P15531
P15538
P15559
P15692
P15735
P15813
P15880
P15884
P15907
P15941
P16050
P16066
P16070
P16083
P16109
P16118
P16152
P16220
P16233
P16234
P16278
P16298
P16389
P16435
P16444
P16455
P16471
P16473
P16499
P16519
P16581
P16591
P16615
P16662
P16671
P16885
P16949
P16989
P17050
P17174
P17181
P17252
P17301
P17302
P17342
P17405
P17516
P17535
P17538
P17568
P17612
P17643
P17655
P17658
P17706
P17707
P17735
P17752
P17787
P17844
P17858
P17861
P17931
P17936
P17948
P17980
P18031
P18054
P18065
P18074
P18077
P18084
P18089
P18124
P18146
P18206
P18405
P18433
P18440
P18505
P18507
P18510
P18545
P18564
P18621
P18627
P18669
P18825
P18846
P18858
P19021
P19022
P19099
P19174
P19224
P19235
P19256
P19320
P19338
P19367
P19404
P19419
P19438
P19440
P19447
P19525
P19532
P19623
P19634
P19784
P19793
P19801
P19823
P19835
P19838
P19971
P20142
P20151
P20231
P20248
P20273
P20292
P20309
P20333
P20340
P20393
P20594
P20618
P20648
P20701
P20711
P20749
P20794
P20813
P20815
P20839
P20848
P20853
P20916
P21127
P21246
P21281
P21291
P21397
P21452
P21453
P21462
P21554
P21580
P21589
P21673
P21675
P21709
P21728
P21730
P21731
P21741
P21757
P21796
P21802
P21817
P21860
P21912
P21917
P21918
P21964
P21980
P22001
P22004
P22059
P22083
P22090
P22102
P22234
P22303
P22307
P22309
P22310
P22314
P22392
P22413
P22455
P22459
P22460
P22607
P22612
P22626
P22674
P22680
P22692
P22694
P22732
P22735
P22736
P22748
P22760
P22830
P22888
P22894
P22897
P23025
P23109
P23141
P23219
P23229
P23280
P23284
P23396
P23415
P23416
P23443
P23458
P23467
P23469
P23470
P23471
P23526
P23528
P23560
P23588
P23743
P23769
P23786
P23919
P23921
P23945
P23946
P23975
P24046
P24158
P24347
P24385
P24462
P24468
P24530
P24557
P24592
P24593
P24666
P24723
P24752
P24855
P24863
P24864
P24903
P24928
P24941
P25021
P25024
P25025
P25054
P25090
P25098
P25100
P25101
P25103
P25105
P25106
P25116
P25391
P25398
P25440
P25445
P25705
P25774
P25786
P25787
P25788
P25789
P25791
P25929
P25942
P25963
P26006
P26010
P26012
P26038
P26045
P26196
P26358
P26373
P26439
P26447
P26572
P26583
P26639
P26640
P26641
P26842
P26885
P26927
P27037
P27169
P27338
P27348
P27361
P27448
P27487
P27540
P27635
P27694
P27695
P27707
P27708
P27815
P27986
P27987
P28062
P28065
P28066
P28070
P28072
P28074
P28161
P28221
P28222
P28223
P28300
P28329
P28331
P28332
P28335
P28336
P28340
P28347
P28472
P28476
P28482
P28562
P28566
P28702
P28715
P28799
P28827
P28838
P28845
P28907
P28908
P29033
P29074
P29120
P29122
P29144
P29274
P29275
P29317
P29320
P29322
P29323
P29350
P29353
P29371
P29372
P29373
P29374
P29375
P29376
P29401
P29466
P29474
P29475
P29597
P29965
P29972
P29992
P30038
P30041
P30044
P30048
P30050
P30084
P30085
P30086
P30101
P30279
P30281
P30291
P30304
P30305
P30307
P30405
P30411
P30419
P30518
P30519
P30520
P30530
P30531
P30532
P30536
P30542
P30550
P30556
P30559
P30613
P30837
P30838
P30872
P30874
P30926
P30939
P30968
P30988
P30989
P31040
P31152
P31153
P31213
P31321
P31323
P31327
P31350
P31391
P31629
P31639
P31644
P31645
P31689
P31749
P31751
P31937
P31939
P31941
P31943
P31944
P31946
P31947
P31948
P32019
P32119
P32238
P32239
P32241
P32245
P32246
P32247
P32248
P32249
P32297
P32298
P32302
P32320
P32322
P32418
P32455
P32745
P32754
P32929
P32969
P33032
P33121
P33176
P33260
P33261
P33316
P33402
P33527
P33908
P33981
P33991
P33993
P34059
P34741
P34897
P34903
P34913
P34947
P34949
P34969
P34972
P34981
P34995
P34998
P35030
P35218
P35221
P35222
P35228
P35232
P35236
P35247
P35268
P35270
P35318
P35346
P35348
P35354
P35367
P35368
P35372
P35398
P35408
P35414
P35462
P35498
P35499
P35503
P35520
P35557
P35558
P35568
P35573
P35575
P35579
P35580
P35590
P35610
P35626
P35637
P35638
P35713
P35790
P35813
P35869
P35913
P35916
P35968
P35998
P36402
P36404
P36507
P36542
P36544
P36578
P36639
P36776
P36873
P36888
P36894
P36896
P36897
P36941
P36955
P36956
P37023
P37058
P37059
P37088
P37173
P37231
P37235
P37268
P37288
P37840
P38117
P38398
P38435
P38571
P38606
P38646
P38919
P38936
P39019
P39023
P39086
P39656
P39687
P39748
P39877
P39900
P40145
P40189
P40238
P40261
P40306
P40313
P40337
P40394
P40429
P40763
P40818
P40879
P40925
P40926
P40933
P40937
P40939
P41134
P41143
P41145
P41146
P41180
P41181
P41182
P41212
P41222
P41226
P41227
P41229
P41231
P41235
P41240
P41247
P41250
P41252
P41279
P41440
P41586
P41587
P41594
P41595
P41597
P41743
P41968
P42224
P42226
P42229
P42261
P42262
P42263
P42285
P42330
P42336
P42338
P42345
P42356
P42566
P42568
P42574
P42575
P42677
P42679
P42680
P42681
P42684
P42685
P42701
P42702
P42704
P42766
P42785
P42858
P42892
P43003
P43004
P43005
P43088
P43115
P43116
P43119
P43166
P43220
P43235
P43246
P43250
P43251
P43320
P43351
P43354
P43358
P43378
P43403
P43405
P43490
P43657
P43681
P43686
P43694
P45452
P45877
P45880
P45973
P45974
P45983
P45984
P45985
P46019
P46020
P46059
P46091
P46092
P46093
P46095
P46098
P46108
P46459
P46527
P46531
P46663
P46721
P46734
P46736
P46776
P46777
P46778
P46779
P46781
P46782
P46783
P46821
P46934
P46937
P46939
P46940
P46952
P47211
P47712
P47756
P47775
P47869
P47870
P47871
P47872
P47895
P47897
P47898
P47900
P47901
P47914
P47929
P47989
P48023
P48039
P48048
P48050
P48051
P48052
P48058
P48061
P48065
P48066
P48067
P48145
P48147
P48163
P48167
P48169
P48357
P48426
P48436
P48443
P48449
P48506
P48507
P48544
P48546
P48547
P48549
P48556
P48643
P48729
P48730
P48735
P48736
P48740
P48764
P48775
P48995
P49019
P49023
P49116
P49137
P49146
P49190
P49207
P49238
P49281
P49286
P49327
P49336
P49354
P49356
P49366
P49406
P49411
P49585
P49589
P49591
P49619
P49638
P49662
P49674
P49682
P49683
P49711
P49720
P49721
P49736
P49748
P49753
P49755
P49759
P49760
P49761
P49763
P49768
P49773
P49789
P49795
P49798
P49810
P49821
P49840
P49841
P49842
P49862
P49863
P49888
P49902
P49916
P49917
P49959
P49961
P50052
P50053
P50135
P50148
P50213
P50225
P50281
P50336
P50391
P50406
P50416
P50454
P50552
P50570
P50579
P50591
P50613
P50747
P50750
P50897
P50914
P50990
P50993
P51114
P51124
P51149
P51159
P51160
P51161
P51164
P51168
P51170
P51178
P51398
P51449
P51451
P51452
P51511
P51512
P51530
P51531
P51532
P51570
P51571
P51572
